field.header.seq,%time,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.location,field.serial_number,%time,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8,%time,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8,%time,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,%time,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance,%time,field.header.stamp,field.header.frame_id,field.temperature,field.variance
52,1.5740697855601155e+18,1.574069785559837e+18,,16.4230003357,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697855905595e+18,1.5740697855902533e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.22464679915e-19,0.001,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.08825985,9.80665,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,,,,,,,,,,,,,,,,1.5740697990031793e+18,1.5740697990029478e+18,map,0.797792434692,-1.53899431229,0.212622880936,-0.00842046303949,-0.00423146703027,-0.235043377577,-0.971939196219,1.574069785591628e+18,1.5740697855914447e+18,base_link,94247.4975586,0.0,1.5740697855915558e+18,1.5740697855914447e+18,base_link,42.96,0.0
53,1.5740697857903997e+18,1.5740697857903094e+18,,16.4710006714,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697858207875e+18,1.574069785820633e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.06864655,9.77723005,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697858207685e+18,1.574069785820633e+18,base_link,111000.0,222000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740697992719465e+18,1.5740697992717696e+18,map,0.88018321991,-1.57751893997,0.210500001907,-0.00825616599358,-0.00441202566608,-0.235179817924,-0.971906797483,1.5740697858302129e+18,1.5740697858300147e+18,base_link,94245.7946777,0.0,1.5740697858302088e+18,1.5740697858300147e+18,base_link,42.96,0.0
54,1.5740697860306053e+18,1.5740697860303916e+18,,16.3600006104,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697860603075e+18,1.574069786060074e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.0784532,9.77723005,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697860603018e+18,1.574069786060074e+18,base_link,114000.0,217000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.574069799557902e+18,1.5740697995575352e+18,map,0.952318191528,-1.59630537033,0.206295251846,-0.0081703927239,-0.00457323554892,-0.235230739316,-0.971894453879,1.574069786080822e+18,1.5740697860805548e+18,base_link,94246.5515137,0.0,1.5740697860808005e+18,1.5740697860805548e+18,base_link,42.96,0.0
55,1.5740697862763766e+18,1.5740697862760893e+18,,16.3640003204,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697862978002e+18,1.5740697862974234e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1176798,0.06864655,9.7870367,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697862977743e+18,1.5740697862974234e+18,base_link,111000.0,216000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57406979983545e+18,1.5740697998352604e+18,map,1.0280456543,-1.60043382645,0.196295499802,-0.00798797470978,-0.00461803117659,-0.23532988402,-0.971871756836,1.5740697863209206e+18,1.574069786320468e+18,base_link,94244.7998047,0.0,1.5740697863209206e+18,1.574069786320468e+18,base_link,42.96,0.0
56,1.5740697865127145e+18,1.5740697865124682e+18,,16.4179992676,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.57406978653286e+18,1.5740697865326167e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22464679915e-19,0.001,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0980665,0.0784532,9.77723005,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.574069786532848e+18,1.5740697865326167e+18,base_link,104000.0,221000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698001335447e+18,1.574069800133136e+18,map,1.08748722076,-1.59591054916,0.182893037796,-0.0078335845129,-0.00446332993932,-0.235476655408,-0.971838185295,1.5740697865632425e+18,1.5740697865630292e+18,base_link,94245.2453613,0.0,1.5740697865632323e+18,1.5740697865630292e+18,base_link,42.96,0.0
57,1.5740697867586179e+18,1.5740697867583654e+18,,16.4729995728,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.574069786785304e+18,1.5740697867849052e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,1.22464679915e-19,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.0784532,9.7870367,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697867852513e+18,1.5740697867849052e+18,base_link,122000.0,216000.0,-383000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698004310536e+18,1.57406980043084e+18,map,1.19157123566,-1.60311460495,0.16956114769,-0.00723053304562,-0.00648044408705,-0.235594279321,-0.971802993815,1.5740697868090104e+18,1.574069786808544e+18,base_link,94246.6308594,0.0,1.5740697868089636e+18,1.574069786808544e+18,base_link,42.96,0.0
58,1.5740697870082511e+18,1.574069787008032e+18,,16.357000351,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697870197596e+18,1.574069787019553e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.44929359829e-19,0.002,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0980665,0.08825985,9.77723005,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.574069787019754e+18,1.574069787019553e+18,base_link,123000.0,218000.0,-371000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698006968783e+18,1.5740698006964844e+18,map,1.30255365372,-1.62452459335,0.167003393173,-0.00738295566395,-0.00539757728895,-0.235701508935,-0.971782463729,1.5740697870332662e+18,1.5740697870331223e+18,base_link,94247.8271484,0.0,1.5740697870332283e+18,1.5740697870331223e+18,base_link,42.96,0.0
59,1.5740697872328312e+18,1.5740697872326382e+18,,16.361000061,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697872606344e+18,1.5740697872602022e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.0784532,9.7870367,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697872606118e+18,1.5740697872602022e+18,base_link,112000.0,217000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698009730107e+18,1.5740698009725804e+18,map,1.40746498108,-1.64061403275,0.161436080933,-0.00748802908976,-0.00463270506069,-0.235464633318,-0.971843029465,1.5740697872797809e+18,1.574069787279351e+18,base_link,94245.2575684,0.0,1.5740697872797957e+18,1.574069787279351e+18,base_link,42.96,0.0
60,1.5740697874802427e+18,1.574069787480043e+18,,16.4039993286,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697875027802e+18,1.5740697875024538e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22464679915e-19,0.001,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.08825985,9.77723005,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697875027692e+18,1.5740697875024538e+18,base_link,109000.0,217000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.574069801294688e+18,1.5740698012944753e+18,map,1.4743514061,-1.6534743309,0.157100200653,-0.00775700069821,-0.00330421623025,-0.235321511273,-0.971881009912,1.5740697875277279e+18,1.574069787527433e+18,base_link,94247.6135254,0.0,1.57406978752769e+18,1.574069787527433e+18,base_link,42.96,0.0
61,1.5740697877319332e+18,1.574069787731642e+18,,16.4729995728,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697877333637e+18,1.5740697877329728e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.06864655,9.79684335,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697877333422e+18,1.5740697877329728e+18,base_link,113000.0,216000.0,-380000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698015545078e+18,1.574069801553896e+18,map,1.52688121796,-1.68825769424,0.161999940872,-0.00754536638174,-0.00364996128693,-0.235185979283,-0.971914245383,1.574069787760105e+18,1.5740697877597005e+18,base_link,94245.6542969,0.0,1.5740697877600722e+18,1.5740697877597005e+18,base_link,42.96,0.0
